Judul,Waktu,Link,Content,tag1,tag2,tag3,tag4,tag5,source
"Banyak Kasus, Pemerintah Diminta Tak Gegabah Cabut Moratorium Kirim PMI ke Arab Saudi",22 Maret 2025,https://nasional.kompas.com/read/2025/03/22/13285471/banyak-kasus-pemerintah-diminta-tak-gegabah-cabut-moratorium-kirim-pmi-ke," JAKARTA, KOMPAS.com - Wakil Ketua Komisi IX DPR RI sekaligus Ketua Satgas PMI DPP PKB, Nihayatul Wafiroh, meminta pemerintah tidak gegabah mencabut moratorium pengiriman pekerja migran Indonesia (PMI) ke Arab Saudi. Pasalnya, moratorium sempat diberlakukan lantaran banyak kasus yang menimpa PMI di negara tersebut. Ia menekankan, pemerintah harus memastikan adanya jaminan PMI secara konkret di Arab Saudi. ""Kami di PKB meminta pemerintah untuk tidak gegabah mencabut moratorium PMI ke Arab. Dulu kita ingat betul moratorium itu dilakukan ya karena PMI kita banyak yang tidak terlindungi, kasus demi kasus menerpa mereka. Sekarang malah mau dibuka padahal solusinya belum jelas,"" kata Nihayatul dalam keterangan pers, Sabtu (13/3/2025). Wanita yang karib disapa Ninik ini menuturkan, perlu ada perbaikan komprehensif sebelum membuka kembali penempatan pekerja migran pada pemberi kerja perseorangan di Arab Saudi. Menurutnya, penempatan pekerja migran harus tetap memprioritaskan aspek-aspek pelindungan dan melibatkan para pemangku kepentingan terkait. ""Tentu perlindungan PMI itu yang utama. Bagaimana manajemennya di sana, apakah benar-benar sudah siap menerima PMI kita, bagaimana jika nanti ada persoalan, penyelesaiannya bagaimana, itu harus dipastikan dulu,"" ungkapnya. Ia mengingatkan, saat ini masih ada banyak kasus yang menimpa sejumlah PMI di Arab. Kasus tersebut meliputi praktik perbudakan, kekerasan seksual, hingga ancaman hukuman mati. Kasus tersebut bahkan terjadi saat moratorium. Ia mengaku tidak bisa membayangkan jika moratorium justru dicabut. Oleh karenanya, Ninik meminta pemerintah mempertimbangkan dengan hati-hati alih-alih mendulang devisa dari pencabutan kebijakan itu. ""Jadi jangan hanya karena PMI bisa menyumbang devisa besar terus ujug-ujug mau buka moratorium. Atau jangan juga hanya karena iming-iming lowongan kerja yang banyak di sana lantas kita terlena. Ingat ya, devisa itu enggak sebanding dengan nyawa dan keselamatan PMI,"" tuturnya. Lebih lanjut, Ninik berkata, pembukaan moratorium pengiriman PMI ke Arab harus didasarkan pada kesepakatan atau kerja sama kedua negara (government to government/GtoG) yang disusun tertulis secara detail seluruh aspek. Misalnya, kata dia, memastikan pemberi kerja memiliki badan hukum, adanya kesepakatan hak dan kewajiban kedua belah pihak, adanya perjanjian kerja, adanya monitoring dan evaluasi, serta adanya cara penyelesaian masalah.",perlindungan pekerja migran,Arab Saudi,Nihayatul Wafiroh,Moratorium PMI,nan,kompas
Akademisi UGM: Pernyataan Nusron Soal Seluruh Tanah Dimiliki Negara Menyesatkan,11 Agustus 2025 | 12.32 WIB,https://www.tempo.co/politik/akademisi-ugm-pernyataan-nusron-soal-seluruh-tanah-dimiliki-negara-menyesatkan-2057409,"Baca berita dengan sedikit iklan,  klik di sini  KETUA Pusat Kajian Hukum dan Keadilan Sosial Fakultas Hukum Universitas Gadjah Mada Herlambang P. Wiratraman mengatakan pernyataan Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional Nusron Wahid soal seluruh tanah di Indonesia milik negara menyesatkan.   Baca berita dengan sedikit iklan,  klik di sini  Pilihan Editor: Polemik Pengibaran Bendera One Piece  Scroll ke bawah untuk melanjutkan membaca   Baca berita dengan sedikit iklan,  klik di sini  Herlambang menjelaskan makna dikuasai negara bukan berarti otomatis negara pemegang hak milik mutlak. Rakyat tetap pemilik tanah. Kata menguasai mengandung makna negara diberi kewajiban untuk mengatur, mengelola, serta mendistribusi manfaat untuk kemakmuran rakyat. "" Jadi dipergunakan untuk sebesar-besarnya kemakmuran rakyat,"" katanya dalam keterangan tertulis, Ahad, 10 Agustus 2025. Nusron sebelumnya mengatakan tanah telantar selama dua tahun dapat diambil alih oleh negara. Menurut dia, pada dasarnya seluruh tanah di Indonesia adalah milik negara, sementara masyarakat hanya diberi hak kepemilikan atas penggunaan tanah tersebut.  Bagi Herlambang, pandangan Nusron itu cara pandang kolonialisme Belanda. Belanda menggunakan perspektif masa domein verklaring untuk merampas tanah rakyat. Domein verklaring itu artinya tanah yang tidak dapat dibuktikan kepemilikannya dianggap sebagai tanah negara. ""Pemahaman itu merupakan cara penjajah merampas tanah-tanah rakyat sehingga melahirkan ketidakadilan sosial yang meluas,"" ucapnya.  Dewan pakar pengarah Kaukus Indonesia untuk Kebebasan Akademik (KIKA) tersebut menilai Nusron tidak paham atau patuh terhadap putusan Mahkamah Konstitusi ketika menafsirkan hak menguasai negara, khususnya Pasal 33 ayat 3 UUD 1945. Tafsir Nusron bertentangan secara konstitusi. Rakyat tetap pemilik tanah. Sementara itu negara diserahi mandat untuk menjalankan pelindungan hak atas tanah tersebut.  Nusron, kata dia, seharusnya memastikan tidak terjadi ketimpangan agraria dan ketidakadilan sosial akibat perampasan tanah untuk ekspansi perkebunan atau eksploitasi eksesif. Nusron juga harus memahami bahwa tanah digunakan untuk kepentingan rakyat.  ""Artinya, tegas terhadap pemegang HGU (hak guna usaha) yang menguasai tanah secara berlebihan, atau berani mencabut aturan yang bertentangan dengan konstitusi atau bahkan hak asasi manusia,"" ucapnya.  Tempo sudah meminta pandangan Nusron mengenai hal ini. Namun politikus Golkar itu belum merespons hingga berita ini terbit.  Rabu 6 Agustus lalu, Nusron bilang terdapat sekitar 100 ribu hektare tanah yang berpotensi telantar. Pemerintah bisa menyita tanah tersebut jika resmi ditetapkan sebagai tanah telantar setelah melampaui masa sanggah selama dua tahun. Dia memastikan Kementerian ATR/BPN tidak sembarangan menyita dan menetapkan tanah telantar.  Sebelumnya, Direktur Jenderal Pengendalian dan Penertiban Tanah dan Ruang Jonahar menjelaskan, penataan tanah telantar dilakukan berdasarkan jenis kepemilikannya. Evaluasi tanah telantar dan bisa disita hanya berlaku untuk pemegang HGU dan hak guna bangunan (HGB). Menurut Jonahar, penertiban tanah hak milik hanya bisa dilakukan jika memenuhi kriteria tertentu yang telah diatur dalam Pasal 7 Peraturan Pemerintah Nomor 20 Tahun 2021 tentang Penertiban Kawasan dan Tanah Telantar. Adapun tanah dengan status sertifikat hak milik bisa masuk kategori telantar jika dikuasai pihak lain hingga menjadi kawasan permukiman atau dikuasai pihak lain selama 20 tahun berturut-turut tanpa hubungan hukum dengan pemilik sah dan tidak menjalankan fungsi sosialnya, seperti membiarkan tanah kosong tanpa dimanfaatkan dalam waktu lama.",tanah,nusron-wahid,ugm,menteri-agraria,nan,tempo
"Dukung Pertumbuhan Ekonomi Jakarta, Pramono Beri Diskon Pajak Hotel dan Restoran",25 Agustus 2025,https://megapolitan.kompas.com/read/2025/08/25/19533251/dukung-pertumbuhan-ekonomi-jakarta-pramono-beri-diskon-pajak-hotel-dan," JAKARTA, KOMPAS.com - Gubernur DKI Jakarta Pramono Anung resmi menandatangani Peraturan Gubernur (Pergub) Nomor 722 Tahun 2025 tentang pemberian insentif fiskal berupa keringanan pajak bagi sektor perhotelan, restoran, serta usaha makanan dan minuman. “Pada hari ini saya menandatangani keputusan Gubernur nomer 722 ,hari Senin ini tentang menjaga kesinambungan usaha wajib pajak di sektor perhotelan, restoran, guna mendukung pertumbuhan ekonomi yang ada di Jakarta,” ucap Pramono di Balai Kota Jakarta, Senin (25/8/2025). Dalam pergub itu, Pemerintah Provinsi (Pemprov) DKI memberikan potongan pajak untuk jasa perhotelan sebesar 50 persen hingga September 2025. Setelah itu, potongan akan berkurang menjadi 20 persen hingga Desember 2025. “Jadi misalnya kalau bayarnya 10, maka ya separuh untuk itu yang dibayarkan ke pajak Provinsi DKI Jakarta sampai dengan bulan September. Jadi selama satu bulan ini kita berikan keringanan 50 persen,” ungkap Pramono. Sementara untuk sektor makanan, minuman, dan restoran, diberikan keringanan 20 persen hingga akhir tahun ini. “Untuk makanan dan minuman, bukan hanya jasa perhotelan saja tetapi juga untuk makanan dan minuman 20 persen sampai dengan Desember 2025,” ujarnya. Pramono menjelaskan, keringanan ini diberikan untuk menjaga momentum pertumbuhan ekonomi Jakarta yang saat ini berada di atas rata-rata nasional. Selain mendukung penyediaan lapangan kerja, kebijakan tersebut juga dimaksudkan untuk memastikan pelaku usaha mendapat insentif fiskal agar mampu bertahan di Jakarta. Pramono menambahkan, insentif ini juga untuk menjaga daya saing usaha di Jakarta. Ia menilai, penerimaan pajak daerah yang sudah cukup baik seharusnya diimbangi dengan stimulus agar dunia usaha tetap bisa bertahan. Para pelaku usaha yang ingin mendapatkan keringanan diwajibkan melaporkan data transaksi usahanya secara elektronik melalui sistem e-TRAP yang telah digunakan oleh pelaku usaha di Jakarta. Pramono menegaskan, insentif ini berlaku sejak hari penandatanganan keputusan, yakni Senin (25/8/2025). Ia menyebut, kebijakan ini masih bersifat sementara dan akan dievaluasi pada 31 Januari 2026. “Saya sungguh berharap dunia usaha yang ada di Jakarta tetap bisa survive dan baik karena memang pemerintah Jakarta memberikan banyak insentif selama ini,” ungkap Pramono.",Pemprov DKI Jakarta,Pramono Anung,pajak restoran,pajak hotel,nan,kompas
Peran Satgas PPKS dalam Menyelesaikan Kasus Kekerasan Seksual di Kampus,24 November 2024 | 08.00 WIB,https://www.tempo.co/hukum/ahli-hukum-satgas-ppks-kampus-1172495,"Baca berita dengan sedikit iklan,  klik di sini   Ringkasan Berita  Satgas Penanganan dan Pencegahas Kekerasan Seksual Universitas Hasanuddin bisa menyelesaikan kasus pelecehan seksual. Kampus lain bisa meniru apa yang dilakukan Universitas Hasanuddin yang tak bisa menyelesaikan kasus kekerasan seksual. Satgas PPKS perlu didukung ahli hukum dan ketegasan rektorat. MULANYA dosen Fakultas Ilmu Budaya Universitas Hasanuddin, Makassar, Sulawesi Selatan, berinisial FS menolak mentah-mentah tuduhan melakukan pelecehan seksual terhadap seorang mahasiswa perempuan angkatan 2021. Saat proses klarifikasi oleh Satuan Tugas Pencegahan dan Penanganan Kekerasan Seksual (Satgas PPKS) Universitas Hasanuddin, ia malah menyebut korban berhalusinasi dan memberikan keterangan palsu. Ahmad Faiz Ibnu Sani dan Dinda Shabrina berkontribusi dalam penulisan artikel ini. Liputan ini merupakan bagian dari seri jurnalisme konstruktif yang didukung International Media Support",pelecehan-seksual-di-kampus,kekerasan-seksual,kekerasan-seksual-di-kampus,jurnalisme-konstruktif,universitas-hasanuddin,tempo
"Catatkan Rekor MURI, Buka Puasa Terpanjang 2,8 Kilometer di Solo",15 Maret 2025 | 12.58 WIB,https://www.tempo.co/video/arsip/catatkan-rekor-muri-buka-puasa-terpanjang-2-8-kilometer-di-solo-1219968,"Buka puasa bersama yang digelar Pemerintah Kota Solo bersama Atase Agama dan Pendidikan Kedutaan Besar Arab Saudi di kawasan Stadion Manahan, Solo, Jawa Tengah, Jumat (14/3), mencatatkan rekor baru. Acara tersebut dinobatkan Museum Rekor Dunia Indonesia (MURI) sebagai buka puasa terpanjang di Indonesia karena membentang sepanjang 2,8 kilometer.  Baca berita dengan sedikit iklan,  klik di sini   Scroll ke bawah untuk melanjutkan membaca   Baca berita dengan sedikit iklan,  klik di sini  Video: ANTARA (Denik Apriyani/Sandy Arizona/Rijalul Vikry) Dwi Oktaviane Editor Antara Videographer",nan,nan,nan,nan,nan,tempo
Pimpinan DPRD Lampung Utara Panggil Hatami Buntut Viral Nyawer DJ Wanita,"Rabu, 14 Mei  2025 23:41 WIB",https://news.detik.com/berita/d-7914683/pimpinan-dprd-lampung-utara-panggil-hatami-buntut-viral-nyawer-dj-wanita,"Anggota DPRD Lampung Utara, Hatami, yang videonya viral di media sosial berjoget sambil menyawer seorang Disk Jockey (DJ) wanita akan dipanggil pimpinan dewan. Yang bersangkutan akan dimintai keterangan. ""Iya saya sudah melihat videonya, untuk langkah awalnya saya akan bertemu terlebih dahulu dengan yang bersangkutan. Saya akan mendengarkan klarifikasi dari yang bersangkutan terlebih dahulu,"" kata Ketua DPRD Lampung Utara M Yusrizal dilansir detikSumbagsel, Rabu (14/5/2025). Yusrizal menerangkan, pihaknya belum bisa menentukan apakah perbuatan kader Partai Kebangkitan Bangsa (PKB) ini melanggar etik atau tidak. Ia menyatakan hal itu harus dikomunikasikan bersama beberapa pimpinan dewan lainnya.  ""Iya saya akan bertemu juga dengan pimpinan dewan lainnya terkait permasalahan ini. Jadi untuk sementara itu dulu yang bisa saya sampaikan sampai nanti ada keputusan dari hasil pertemuan nanti,"" ujarnya. Sebelumnya, viral di media sosial anggota DPRD Lampung Utara Hatami sedang menyawer seorang DJ wanita. Video tersebut mendapat komentar negatif netizen. Dalam video yang diterima detikSumbagsel, tampak Hatami yang mengenakan kaos jenis polo warna putih dan celana jeans biru muda asyik berjoget di depan seorang wanita yang berprofesi sebagai DJ. Hatami terlihat membagikan uang pecahan Rp 50 ribu dalam jumlah yang cukup banyak sehingga memenuhi meja DJ. Aksi Hatami ini disaksikan oleh puluhan orang yang hadir dalam acara tersebut. Baca berita lengkapnya di sini.",dprd,anggota dprd lampung utara,lampung utara,viral,dj,detik
"Jaksa Ungkap 8 Hal yang Beratkan Tuntutan Nikita Mirzani, Termasuk Tidak Sopan Saat Sidang",9 Oktober 2025,https://megapolitan.kompas.com/read/2025/10/09/19433251/jaksa-ungkap-8-hal-yang-beratkan-tuntutan-nikita-mirzani-termasuk-tidak," JAKARTA, KOMPAS.com – Jaksa penuntut umum (JPU) membeberkan delapan poin pertimbangan yang memberatkan dalam tuntutan terhadap artis Nikita Mirzani. Salah satunya adalah sikap Nikita yang dinilai tidak sopan selama persidangan di Pengadilan Negeri Jakarta Selatan. “Hal-hal yang kami jadikan pertimbangan dalam mengajukan tuntutan pidana, yaitu keadaan yang memberatkan, bahwa terdakwa tidak bersikap sopan di persidangan,” ujar jaksa dalam sidang yang digelar pada Kamis (9/10/2025). Selain sikapnya yang kerap mengamuk dan memotong penjelasan saksi maupun jaksa, Nikita juga dinilai tidak menghargai jalannya persidangan, berbelit-belit dalam memberikan keterangan, serta tidak mengakui perbuatannya. Jaksa menilai, tindakan Nikita telah merusak nama baik dan martabat orang lain, dalam hal ini Reza Gladys. “Perbuatan terdakwa merusak nama baik martabat orang lain,” kata jaksa. Selain itu, perbuatan Nikita disebut memicu kegaduhan di tengah masyarakat di berbagai daerah. Ia juga dinilai menikmati hasil kejahatan dari dugaan tindak pidana pemerasan dan pencucian uang yang dilakukannya. Faktor lain yang memberatkan adalah catatan hukum Nikita yang pernah menjadi tahanan sebelumnya. “Memberatkan bahwa terdakwa sudah pernah dihukum,” tambah jaksa. Meski demikian, jaksa tetap memberikan satu poin yang meringankan tuntutan. Nikita disebut masih memiliki tanggungan keluarga, termasuk tiga anak yang menjadi tanggung jawabnya. “Keadaan yang meringankan, terdakwa masih memiliki tanggungan keluarga,” ungkap jaksa. Dalam kasus ini, Nikita dijerat dengan Pasal 3, 4, dan 5 Undang-Undang Nomor 8 Tahun 2010 tentang Pencegahan dan Pemberantasan Tindak Pidana Pencucian Uang. Pasal tersebut memiliki ancaman hukuman maksimal 20 tahun penjara. Namun, jaksa menuntut Nikita dengan hukuman 11 tahun penjara dan denda Rp 2 miliar.",Nikita Mirzani,Kasus Nikita Mirzani,pemerasan nikita mirzani,kasus nikita mirzani dan reza gladys,tuntutan kasus Nikita Mirzani,kompas
Momen Sekda Jakarta Terus Dibisiki Maruarar Sirait soal Relokasi Warga Kolong Tol…,1 Desember 2024,https://megapolitan.kompas.com/read/2024/12/01/06120091/momen-sekda-jakarta-terus-dibisiki-maruarar-sirait-soal-relokasi-warga," JAKARTA, KOMPAS.com - Menteri Perumahan dan Kawasan Permukiman Maruarar Sirait membisiki Sekretaris Daerah (Sekda) DKI Jakarta Marullah Matali saat sesi wawancara cegat (doorstop) usai mereka merelokasi sejumlah warga kolong jembatan dan kolong tol ke rumah susun sederhana sewa (rusunawa). Pada momen ini, Marullah berdiri di antara Marullah dan Menteri Koordinator (Menko) Bidang Infrastruktur dan Kewilayahan Agus Harimurti Yudhoyono (AHY). Hadir juga Wakil Menteri Sosial Agus Jabo Priyono, Menteri Dalam Negeri Tito Karnavian, Kepala Kantor Komunikasi Kepresidenan Hasan Nasbi, dan Kepala Dinas Perumahan Rakyat dan Kawasan Permukiman Provinsi DKI Jakarta Kelik Indriyanto. Mulanya Marullah menjawab pertanyaan salah satu wartawan tentang bagaimana nasib warga yang direlokasi tidak sanggup membayar biaya sewa setelah enam bulan. Marullah menjelaskan, biaya sewa rusunawa dengan tipe 36 senilai Rp 550.000 per bulan. Bagi warga yang baru direlokasi akan digratiskan selama enam bulan ke depan, kecuali listrik dan air. “Kami yakin, ketika mereka berada di sini selama enam bulan, mereka sudah bisa menghasilkan sesuatu,” kata Marullah di Rusunawa Rawa Buaya, Cengkareng, Jakarta Barat, Sabtu (30/11/2024). Selama kurun waktu enam bulan itu, Pemerintah Provinsi (Pemprov) DKI Jakarta memberikan pelatihan keterampilan untuk bekal warga yang direlokasi mendapatkan pekerjaan. “Enam bulan kemudian mereka Insya Allah akan mendapatkan pekerjaan, mereka menghasilkan sesuatu dan mereka bisa membayar…,” kata Marullah yang seketika kalimatnya terpenggal. Maruarar yang berada di samping kirinya tiba-tiba membisiki Marullah. Tidak diketahui apa yang disampaikan Maruara. Tak berselang lama, Marullah kembali melanjutkan kalimatnya. “Sebagian mereka memang sudah ini, sudah punya pekerjaan. Jadi, pekerjaan yang mereka geluti di tempat yang lama itu, masih menghasilkan,” ungkap Marullah setelah mendapatkan bisikan dari Maruarar. “Enam bulan kemudian pun masih ada (penghasilan), dan Insya Allah mereka bisa membayar Rp 550.000 yang menjadi kewajiban mereka membayar di sini,” tambahnya. Diberitakan sebelumnya, 139 kepala keluarga (KK) yang sebelumnya bertempat tinggal di kolong tol atau kolong jembatan berbagai wilayah di Jakarta direlokasi ke rusunawa. Sebanyak 44 KK terdiri dari 22 unit tipe 30 dengan biaya retribusi Rp 360.000 per bulan dan 22 unit tipe 36 dengan retribusi Rp 550.00 per bulan. Kemudian sebanyak 95 KK direlokasi ke Rusunawa Daan Mogot Blok sebanyak 20 unit, Rusunawa Daan Mogot Tower sebanyak 4 unit, Rusunawa Tegal Alur sebanyak 26 unit, Rusunawa PIK I Pulogadung sebanyak 45 unit. Adapun 95 KK itu mendapatkan unit dengan tipe 36. Di luar 139 KK itu, ada sebanyak 6 KK yang sebelumnya bertempat tinggal di kolong tol jembatan Sungai Landak yang akan dipindahkan ke Rusunawa Nagrak. Terakhir, 1 KK yang sebelumnya bermukim di kolong tol Fly Over Basura direlokasi ke Rusunawa Rawa Bebek.",warga kolong tol,Warga kolong tol angke direlokasi,warga kolong tol relokasi ke rusunawa,139 KK kolong tol pindah ke rusunawa,relokasi Kolong Tol Angke,kompas
Seorang Pria Tewas Tenggelam Saat Menyeberang Kali Cakung,7 Juni 2025,https://megapolitan.kompas.com/read/2025/06/07/21453801/seorang-pria-tewas-tenggelam-saat-menyeberang-kali-cakung," JAKARTA, KOMPAS.com – Seorang pria asal Kampung Sawah ditemukan tenggelam saat menyeberangi Kali Cakung di Jalan Kali Cakung Drain, Semper Timur, Cilincing, Jakarta Utara, pada Sabtu (7/6/2025) pagi. Pria berinisial G (55) tersebut terlihat menaiki perahu kecil atau getek untuk menyeberangi sungai. “Saksi melihat korban menaiki kapal getek untuk menyeberang,” kata Kepala Pusdatin BPBD Jakarta, Mohamad Yohan, dalam keterangannya, Sabtu. Saat perahu sedang ditarik, korban tiba-tiba terjatuh dan tercebur ke dalam air. Warga yang berada di sekitar lokasi tidak melihat adanya upaya dari korban untuk keluar dari air. “Saat getek sedang ditarik, korban tercebur dan tidak terlihat,” sambung Yohan. Tim gabungan petugas pengendalian bencana (P2B) BPBD Jakarta, Basarnas, Disgulkarmat, PK3D, dan Satpol PP setempat langsung melakukan evakuasi. Selain itu, pihak Koramil, Kelurahan Semper Timur, Polsek Cilincing, dan relawan juga terlibat dalam proses evakuasi. Setelah pencarian yang berlangsung selama lima jam, korban akhirnya ditemukan dalam keadaan tak bernyawa. “Korban ditemukan dalam kondisi meninggal dunia,” kata Yohan. BPBD Jakarta menerima laporan tentang kejadian ini pada pukul 09.00 WIB. Tim gabungan berhasil menemukan korban pada sore hari, tepatnya pukul 16.00 WIB. ",Jakarta Utara,pencarian korban,tenggelam di Kali Cakung,korban ditemukan meninggal,pria tewas tenggelam di Kali Cakung,kompas
Menkum Harap Buron Kasus E-KTP Paulus Tannos Sukarela Pulang ke Indonesia,29 Juli 2025,https://nasional.kompas.com/read/2025/07/29/21061841/menkum-harap-buron-kasus-e-ktp-paulus-tannos-sukarela-pulang-ke-indonesia," JAKARTA, KOMPAS.com - Menteri Hukum (Menkum) Supratman Andi Agtas berharap agar buron kasus korupsi proyek pengadaan e-KTP, Paulus Tannos bisa pulang ke Indonesia secara sukarela sebelum adanya putusan persidangan ekstradisi di Singapura. Namun, menurut dia, pemerintah tetap akan menunggu putusan pengadilan Singapura jika Paulus Tannos tak mau pulang secara sukarela. ""Semoga, mudah-mudahan dalam perjalanan ini nanti yang bersangkutan mau secara sukarela, ya, sebelum ada keputusan. Kita berharap begitu. Tapi kalau tidak, ya kita tunggu keputusannya,"" ujar Supratman di Auditorium BPSDM Hukum, Cinere, Depok, Selasa (29/7/2025). Kemudian, Menkum mengungkapkan, proses ekstradisi Paulus Tannos masih dalam tahap persidangan dengan agenda pemeriksaan saksi. “Sidang terkait dengan Paulus Tannos. Saat ini masih dalam proses persidangan. Kalau tidak salah, informasi laporan Dirjen AHU (Administrasi Hukum Umum) saat ini dalam proses pemeriksaan saksi,” kata Supratman. Dia lantas mengatakan, Kementerian Hukum bersama Komisi Pemberantasan Korupsi (KPK) bertugas melengkapi dokumen yang dibutuhkan Otoritas Singapura selaku pihak yang mewakili Indonesia dalam persidangan ekstradisi. Sebelumnya, Direktur Jenderal (Dirjen) AHU pada Kementerian Hukum, Widodo mengatakan bahwa saksi-saksi buron kasus korupsi proyek e-KTP, Paulus Tannos, yang akan dihadirkan dalam sidang lanjutan ekstradisi bisa ditolak oleh Pengadilan Singapura. Widodo menyebut, saksi-saksi tersebut akan dinilai bersama dalam sidang lanjutan Paulus Tannos. ""Nah itupun juga saksi-saksi nanti kita (Jaksa Singapura) lakukan penilaian bersama gitu. Penilaian bersama artinya, bisa saja saksi yang dia ajukan ditolak,"" kata Widodo saat ditemui di Kementerian Hukum, Jakarta pada 17 Juli 2025. ""Kalau diterima, baru didengarkan kesaksiannya, atau diminta keterangannya,” ujarnya lagi. Widodo mengatakan, jika saksi-saksi yang dihadirkan Paulus Tannos ditolak, maka Jaksa Singapura sebagai pihak yang mewakili Pemerintah Indonesia dapat mengajukan saksi dalam sidang lanjutan. ""Atau dia (Paulus Tannos) minta tambahan waktu lagi untuk mengajukan lagi. Nah ini makanya membutuhkan waktu, kalkulasinya memang tidak singkat,"" katanya. Lebih lanjut, Widodo mengatakan, proses ekstradisi Paulus Tannos akan memakan waktu sampai dua tahun. Oleh karena itu, dia berharap Paulus Tannos kooperatif hingga menyerahkan diri untuk diekstradisi ke Indonesia. ""Kita berharap yang bersangkutan untuk kooperatif, dan ada keajaiban, keajaiban ini bisa saja yang bersangkutan mengatakan, 'Pak kami berkenan untuk Indonesia, sudah lah. Saya mengalah dan mengaku salah', ya bisa saja enggak sampai dua tahun,"" ujarnya. Diketahui, Paulus Tannos merupakan buron kasus korupsi proyek pengadaan e-KTP yang masuk daftar pencarian orang sejak 19 Oktober 2021.",Singapura,Paulus Tannos,Supratman Andi Agtas,menkum,Ekstradisi Paulus Tannos,kompas
"UGM Punya Bukti Ijazah Jokowi, Mengapa Tidak Dibuka ke Publik?",24 Agustus 2025 | 09.35 WIB,https://www.tempo.co/politik/ugm-punya-bukti-ijazah-jokowi-mengapa-tidak-dibuka-ke-publik--2062410,"Baca berita dengan sedikit iklan,  klik di sini  UNIVERSITAS Gadjah Mada menyatakan memiliki bukti-bukti bahwa mantan presiden Jokowi adalah lulusannya. Namun universitas yang berlokasi di Sleman, Yogyakarta, itu tidak mau mengungkapkan dokumen-dokumen tersebut ke publik.  Baca berita dengan sedikit iklan,  klik di sini  Dekan Fakultas Kehutanan UGM Sigit Sunarta menyebutkan data-data mengenai perkuliahan Jokowi di fakultasnya itu bukan konsumsi publik. ""Saya menganggapnya itu sebagai data pribadi,"" kata Sigit dalam diskusi bertajuk ""UGM Menjawab Ijazah Joko Widodo"" di saluran resmi YouTube UGM pada Sabtu, 23 Agustus 2025.  Scroll ke bawah untuk melanjutkan membaca   Baca berita dengan sedikit iklan,  klik di sini  Menurut Sigit, UGM memiliki sejumlah dokumen yang mendukung bahwa Joko Widodo pernah berkuliah di tempat tersebut. Salah satunya adalah bukti formulir registrasi yang diisi oleh ayah dari Wakil Presiden Gibran Rakabuming Raka itu. Saat ini, kata Sigit, dokumen-dokumen tersebut telah diserahkan ke kepolisian menyusul proses hukum yang berhubungan dengan ijazah Jokowi. ""Semua dokumen yang berkaitan dengan itu ada pada kepolisian, dan kami di universitas, karena menganggap itu merupakan data pribadi, maka juga tidak akan kami share ke mana-mana,"" tutur Sigit. Sementara itu, Rektor UGM Ova Emilia berujar kampusnya telah memiliki semua data yang berhubungan dengan ijazah Jokowi. ""Dokumen tersebut juga sudah rapi kami kumpulkan dan sekarang ini memang sudah ada di tangan kepolisian karena adanya proses legal yang berkembang,"" kata Ova. Meski begitu, Ova berujar UGM tidak akan membuka bukti-bukti tersebut karena mematuhi undang-undang. Dia merujuk pada ketentuan dalam Undang-Undang Nomor 14 Tahun 2008 tentang Keterbukaan Informasi Publik (UU KIP). Ijazah, kata Ova, merupakan dokumen pribadi. ""Undang-Undang KIP ini melindungi supaya kami tidak mengobral semua dokumen yang memang bukan menjadi ranah publik,"" katanya. Pernyataan ini muncul setelah isu keaslian ijazah Jokowi kembali mencuat, menyusul peluncuran buku Jokowi’s White Paper oleh tiga alumnus UGM, yakni Roy Suryo, Rismon Hasiholan Sianipar, dan Tifauzia Tiyassuma alias dokter Tifa, di Yogyakarta pada 18 Agustus 2025. Kepolisian Daerah Metro Jaya tengah mengusut kasus yang berkaitan dengan ijazah Jokowi. Setelah menerima laporan dari Roy Suryo cs soal dugaan ijazah palsu Jokowi, kini Polda Metro Jaya kini memproses dugaan fitnah yang balik dilaporkan Jokowi. Dinda Shabrina berkontribusi dalam penulisan artikel ini. Pilihan Editor: Pertimbangan DPR Memilih Inosentius Samsul Menjadi Hakim Konstitusi",jokowi,ijazah-jokowi,ugm,ijazah-palsu-jokowi,joko-widodo,tempo
